x,y,z,ctl,deaths
-30,-30,12,159,1
-30,-30,15,24,0
-30,-30,18,32,0
-30,-30,21,26,0
-30,-30,24,73,2
-30,-30,27,57,1
-30,-20,-36,54,0
-30,-20,-33,169,1
-30,-20,-24,43,0
-30,-20,-21,54,1
-30,-20,-18,118,1
-30,-20,-15,163,0
-30,-20,-12,246,1
-30,-20,-9,72,1
-30,-20,-6,148,0
-30,-20,-3,748,6
-30,-20,0,635,5
-30,-20,3,207,2
-30,-20,6,91,0
-30,-20,9,291,2
-30,-20,12,303,3
-30,-20,15,100,0
-30,-20,18,207,6
-30,-20,21,99,1
-30,-20,24,439,1
-30,-20,27,216,1
-30,-10,-36,105,0
-30,-10,-33,14,0
-30,-10,-27,138,1
-30,-10,-24,14,0
-30,-10,-21,379,2
-30,-10,-18,43,0
-30,-10,-15,14,1
-30,-10,-12,98,1
-30,-10,-9,237,2
-30,-10,-6,133,2
-30,-10,-3,161,1
-30,-10,0,210,3
-30,-10,3,290,4
-30,-10,6,274,2
-30,-10,9,475,4
-30,-10,12,599,9
-30,-10,15,462,4
-30,-10,18,209,3
-30,-10,21,179,1
-30,-10,27,19,0
-30,-10,30,30,0
-30,-10,33,49,0
-30,-10,36,196,1
-30,0,-36,117,1
-30,0,-33,7,1
-30,0,-27,79,1
-30,0,-24,88,2
-30,0,-18,275,4
-30,0,-15,320,4
-30,0,-12,448,5
-30,0,-9,330,3
-30,0,-6,288,3
-30,0,-3,470,3
-30,0,0,1012,6
-30,0,3,528,4
-30,0,6,233,2
-30,0,9,96,2
-30,0,12,232,4
-30,0,15,78,2
-30,0,18,411,4
-30,0,21,39,0
-30,0,24,402,5
-30,0,27,139,2
-30,0,30,125,2
-30,0,33,226,2
-30,10,-36,24,1
-30,10,-30,74,1
-30,10,-27,321,3
-30,10,-24,139,2
-30,10,-21,141,1
-30,10,-18,200,2
-30,10,-15,191,1
-30,10,-12,147,1
-30,10,-9,108,0
-30,10,-3,521,5
-30,10,0,335,2
-30,10,3,309,1
-30,10,9,104,1
-30,10,12,101,2
-30,10,15,75,1
-30,10,18,297,1
-30,10,21,83,2
-30,10,24,167,3
-30,10,27,130,1
-30,10,30,23,1
-30,10,36,26,0
-30,20,-33,185,0
-30,20,-30,154,3
-30,20,-27,588,3
-30,20,-24,117,1
-30,20,-21,53,1
-30,20,-18,155,3
-30,20,-15,380,4
-30,20,-12,28,1
-30,20,-9,46,0
-30,20,-6,59,0
-30,20,-3,86,1
-30,20,0,651,5
-30,20,3,241,1
-30,20,6,205,2
-30,20,9,111,3
-30,20,12,56,1
-30,20,15,118,0
-30,20,18,497,5
-30,20,21,131,1
-30,20,24,223,2
-30,20,27,94,0
-30,20,30,39,1
-30,20,33,120,1
-30,20,36,187,1
-30,30,-33,65,0
-30,30,-30,114,0
-30,30,-24,9,0
-30,30,-21,15,0
-30,30,-18,53,1
-30,30,-15,52,0
-30,30,-12,126,1
-30,30,-9,57,1
-30,30,-6,114,0
-30,30,0,6,1
-30,30,3,117,0
-30,30,6,111,2
-30,30,9,5,0
-30,30,15,126,2
-30,30,30,73,0
-30,40,-36,72,1
-30,40,-33,60,0
-30,40,-24,157,2
-30,40,-21,157,1
-30,40,-18,13,1
-30,40,-6,23,0
-30,40,-3,37,0
-30,40,12,191,0
-30,40,15,41,0
-30,40,18,65,0
-30,40,21,146,1
-30,50,-36,66,1
-30,50,-30,22,1
-30,50,-9,17,1
-30,50,-6,98,1
-30,50,-3,225,2
-30,60,-15,293,1
-30,60,-12,135,0
-30,70,3,59,0
-30,70,6,69,1
-20,-60,-3,13,0
-20,-60,0,39,0
-20,-60,6,61,1
-20,-60,15,201,2
-20,-60,18,12,1
-20,-50,-21,10,0
-20,-50,6,45,0
-20,-50,9,10,0
-20,-50,12,162,2
-20,-50,15,99,0
-20,-50,18,65,1
-20,-50,30,52,1
-20,-40,-27,89,1
-20,-40,-24,71,1
-20,-40,-21,125,2
-20,-40,-18,125,0
-20,-40,-12,171,1
-20,-40,-9,398,3
-20,-40,-6,103,3
-20,-40,-3,159,2
-20,-40,0,67,0
-20,-40,3,328,2
-20,-40,6,106,1
-20,-40,9,457,3
-20,-40,12,142,1
-20,-40,15,83,1
-20,-40,18,30,2
-20,-40,21,61,0
-20,-40,24,168,1
-20,-40,27,94,2
-20,-40,30,47,0
-20,-40,33,210,2
-20,-40,36,246,3
-20,-30,-36,99,4
-20,-30,-33,52,0
-20,-30,-30,119,1
-20,-30,-27,97,1
-20,-30,-24,258,2
-20,-30,-21,131,2
-20,-30,-18,3,1
-20,-30,-15,94,1
-20,-30,-12,175,3
-20,-30,-9,269,1
-20,-30,-6,112,1
-20,-30,-3,201,3
-20,-30,0,431,1
-20,-30,3,350,7
-20,-30,6,168,1
-20,-30,12,263,3
-20,-30,15,200,0
-20,-30,21,606,3
-20,-30,24,24,1
-20,-30,27,35,0
-20,-30,30,175,2
-20,-30,36,233,2
-20,-20,-36,128,1
-20,-20,-33,582,4
-20,-20,-30,215,3
-20,-20,-27,363,6
-20,-20,-24,191,1
-20,-20,-21,549,8
-20,-20,-18,322,4
-20,-20,-15,157,2
-20,-20,-12,607,2
-20,-20,-9,471,6
-20,-20,-6,525,5
-20,-20,-3,440,3
-20,-20,0,607,7
-20,-20,3,468,1
-20,-20,6,467,7
-20,-20,9,364,2
-20,-20,12,206,3
-20,-20,15,214,2
-20,-20,18,259,2
-20,-20,21,229,4
-20,-20,24,552,5
-20,-20,27,169,2
-20,-20,30,98,2
-20,-20,33,128,1
-20,-20,36,191,1
-20,-10,-36,6,0
-20,-10,-30,284,2
-20,-10,-27,258,1
-20,-10,-24,27,0
-20,-10,-21,17,1
-20,-10,-18,94,1
-20,-10,-15,166,1
-20,-10,-12,539,6
-20,-10,-9,411,7
-20,-10,-6,460,6
-20,-10,-3,561,5
-20,-10,0,671,6
-20,-10,3,250,4
-20,-10,6,255,3
-20,-10,9,375,2
-20,-10,12,277,2
-20,-10,15,534,5
-20,-10,18,279,3
-20,-10,21,501,1
-20,-10,24,151,1
-20,-10,27,507,6
-20,-10,30,622,6
-20,-10,33,162,2
-20,-10,36,9,0
-20,0,-36,39,0
-20,0,-33,263,1
-20,0,-30,331,3
-20,0,-27,196,3
-20,0,-24,298,6
-20,0,-21,325,2
-20,0,-18,963,11
-20,0,-15,621,6
-20,0,-12,718,9
-20,0,-9,473,6
-20,0,-6,282,1
-20,0,-3,388,1
-20,0,0,74,1
-20,0,3,639,3
-20,0,6,345,4
-20,0,9,723,5
-20,0,12,429,8
-20,0,15,770,9
-20,0,18,501,6
