"time","volume","id","density","tcells"
9.4,3527663.17193876,"k =  4",42500,149925684807.397
9.45,3652471.498463,"k =  4",43125,157512833371.217
9.5,3781180.63057406,"k =  4",43750,165426652587.615
9.55,3913891.49651457,"k =  4",44375,173678935157.834
9.6,4050706.81686824,"k =  4",45000,182281806759.071
9.65,4191731.10428635,"k =  4",45625,191247731633.065
9.7,4337070.66168589,"k =  4",46250,200589518102.973
9.75,4486833.57885741,"k =  4",46875,210320324008.941
9.8,4641129.7274203,"k =  4",47500,220453662052.464
9.85,4800070.7540625,"k =  4",48125,231003405039.258
9.9,4963770.07200117,"k =  4",48750,241983791010.057
9.95,5132342.85060024,"k =  4",49375,253409428248.387
10,5305906.00308034,"k =  4",50000,265295300154.017
10.05,5484578.1722569,"k =  4",50625,277656769970.505
10.1,5668479.71424111,"k =  4",51250,290509585354.857
10.15,5857732.6800392,"k =  4",51875,303869882777.034
10.2,6052460.79498444,"k =  4",52500,317754191736.683
10.25,6252789.43593683,"k =  4",53125,332179438784.144
10.3,6458845.60618543,"k =  4",53750,347162951332.467
10.35,6670757.90798815,"k =  4",54375,362722461246.855
10.4,6888656.51268442,"k =  4",55000,378876108197.643
10.45,7112673.12831622,"k =  4",55625,395642442762.59
10.5,7342940.96469329,"k =  4",56250,413040429263.997
10.55,7579594.69583924,"k =  4",56875,431089448325.857
10.6,7822770.41975545,"k =  4",57500,449809299135.938
10.65,8072605.61544074,"k =  4",58125,469220201397.493
10.7,8329239.09710542,"k =  4",58750,489342796954.944
10.75,8592810.96551931,"k =  4",59375,510198151077.709
10.8,8863462.55643449,"k =  4",60000,531807753386.069
10.85,9141336.38602471,"k =  4",60625,554193518402.748
10.9,9426576.0932846,"k =  4",61250,577377785713.682
10.95,9719326.37933348,"k =  4",61875,601383319721.259
11,10019732.9435699,"k =  4",62500,626233308973.121
11.05,10327942.4166253,"k =  4",63125,651951365049.469
11.1,10644102.2900655,"k =  4",63750,678561520991.673
11.15,10968360.842794,"k =  4",64375,706088229254.863
11.2,11300867.0641088,"k =  4",65000,734556359167.074
11.25,11641770.5733705,"k =  4",65625,763991193877.441
11.3,11991221.5362399,"k =  4",66250,794418426775.891
11.35,12349370.5774463,"k =  4",66875,825864157366.719
11.4,12716368.6900515,"k =  4",67500,858354886578.475
11.45,13092367.1411752,"k =  4",68125,891917511492.558
